Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

  dnsutils: 55KB, security=True
  git: 18344KB, security=True
  htop: 334KB, security=False
  iputils-ping: 113KB, security=True
  lsof: 447KB, security=False
  mysql-client: 108KB, security=True
  nano: 860KB, security=True
  ncdu: 104KB, security=False
  netcat-openbsd: 106KB, security=False
  nodejs: 910KB, security=True
  npm: 2647KB, security=False
  postgresql-client: 70KB, security=False
  redis-tools: 4063KB, security=True
  strace: 2000KB, security=False
  tcpdump: 1374KB, security=False
  tree: 113KB, security=False

