Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

  Processing: nginx
  Processing: ca-certificates
  Processing: openssl
  Processing: bash
  Processing: coreutils

Total unique dependencies found: 100

Removable packages: 19
Dependency-protected packages: 3

Getting package info...
  apache2: version=, size=0KB, security_update=false
  dnsutils: version=unknown, size=0KB, security_update=false
  git: version=, size=0KB, security_update=false
  htop: version=unknown, size=0KB, security_update=false
  iputils-ping: version=unknown, size=0KB, security_update=false
  lsof: version=unknown, size=0KB, security_update=false
  mysql-client: version=unknown, size=0KB, security_update=false
  nano: version=, size=0KB, security_update=false
  ncdu: version=unknown, size=0KB, security_update=false
  netcat-openbsd: version=unknown, size=0KB, security_update=false
  nodejs: version=unknown, size=0KB, security_update=false
  npm: version=unknown, size=0KB, security_update=false
  postgresql-client: version=unknown, size=0KB, security_update=false
  redis-tools: version=unknown, size=0KB, security_update=false

