New Terminal Output:

user@c86437930252:~/inventory$ wc -l assets.csv
847 assets.csv
user@c86437930252:~/inventory$ grep -E '\$|,.*,' assets.csv | head -10
id,name,serial,purchase_date,price,location
AST-00712,Whiteboard Digital,SN-JSM-00713,02/12/2017,540.61,Warehouse B
AST-00108,UPS Battery,SN-ULF-00109,2021-03-22,3121,Building C
AST-00351,Webcam HD,SN-GGG-00352,2021-08-15,4671,IT Closet
AST-00691,External SSD,SN-UMT-00692,2016-03-23,1418,Building C
AST-00291,External SSD,SN-XTH-00292,2022-03-05,2213,Storage Room
AST-00695,External SSD,SN-TGR-00696,02/14/2018,1977,Storage Room
AST-00551,Laptop Dell XPS,SN-MDW-00552,07/22/2022,1705,Storage Room
AST-00097,Docking Station,SN-OAN-00098,2015-09-27,3708.79,Storage Room
AST-00497,Server Rack,SN-FBO-00498,12/23/2022,3220,Warehouse B
grep: write error: Broken pipe
user@c86437930252:~/inventory$ cat assets.csv | tail -30
AST-00154,Standing Desk Pro,SN-AYF-00155,05/03/2017,3481,Storage Room
AST-00792,Docking Station,SN-QZS-00793,2020-06-07,2460,Office 202
AST-00092,External SSD,SN-JVM-00093,12/21/2022,3927,Storage Room
AST-00106,Network Switch,SN-ZSN-00107,2016-07-08,-4447.07,Warehouse A
AST-00080,Headset Bluetooth,SN-PUV-00081,11/17/2017,1208,Storage Room
AST-00025,Keyboard Mechanical,SN-IYX-00026,11/18/2018,1488,Storage Room
AST-00707,Keyboard Mechanical,SN-MIM-00708,2023-07-05,1415.27,IT Closet
AST-00423,UPS Battery,SN-YES-00424,08/21/2019,1616,Warehouse B
AST-00617,USB Hub,SN-ZON-00618,2019-10-22,821,Remote Site
AST-00797,Network Switch,SN-ATT-00798,2016-10-21,1639,Office 202
AST-00518,Monitor 27inch,SN-LDM-00519,2021-01-03,2285,Warehouse B
AST-00134,SN-CJL-00135,Office Chair Ergonomic,11/05/2016,1691,Storage Room
AST-00655,Printer LaserJet,SN-PTU-00656,2022-11-20,2170,IT Closet
AST-00360,Office Chair Ergonomic,SN-KDP-00361,12/22/2017,-1846.58,Storage Room
AST-00807,Docking Station,SN-AUY-00808,2016-08-08,1836,Office 202
AST-00357,Standing Desk Pro,SN-QKG-00358,2017-11-17,255.47,Office 101
AST-00205,External SSD,SN-DSX-00206,17.03.2015,4109,Warehouse A
AST-00446,Docking Station,SN-IUY-00447,2016-01-15,1914.66,Office 101
AST-00272,Standing Desk Pro,SN-CTB-00273,06/15/2020,3310,Office 101
AST-00175,Whiteboard Digital,SN-BWG-00176,2021-03-06,4931,IT Closet
AST-00325,UPS Battery,SN-YQM-00326,24.11.2016,2386.57,Warehouse A
AST-00072,Whiteboard Digital,SN-OBX-00073,2019-07-06,4081,Warehouse A
AST-00785,Scanner Flatbed,SN-MKM-00786,2015-05-18,3123,Office 202
AST-00649,Monitor 27inch,SN-MJH-00650,2020-08-04,2067,Warehouse B
AST-00367,Server Rack,SN-TAN-00368,2021-11-07,3655.87,Warehouse A
AST-00099,Printer LaserJet,SN-QGJ-00100,2020-07-15,3012,Warehouse B
AST-00672,Keyboard Mechanical,SN-ZKF-00673,05/03/2020,3019,Warehouse B
AST-00308,USB Hub,SN-CRX-00308,2021-05-18,3185.82,Building C
AST-00062,Laptop Dell XPS,SN-ZMY-00063,2021-04-15,4001,Storage Room
AST-00228,Keyboard Mechanical,SN-DPI-00229,2021-09-13,"$2,944.35",Warehouse B
user@c86437930252:~/inventory$
